# addr	name	type	m	x	e	comment
02892E			1	0	0	
028980	clear_sprite_data_028980	code				clear sprite data
02898F			1	0	0	
0289D0	init_hardware_registers	code				init hardware registers
028A51	battle_irq	code				battle irq
028A66	clear_tilemap_buffer	code				clear tilemap buffer
028A7C	transfer_tilemap_to_vram	code				transfer tilemap to vram
028A89			1	0	0	
028B1C	load_graphics	code				load graphics
028B44	load_misc_monster_graphics	code				load misc. monster graphics
028B7F			1	0	0	
028BC7			1	0	0	
028D2F	load_monster_tilemap	code				load monster tilemap
028D35			1	0	0	
028DA8			1	0	0	
028EA5			1	0	0	
028EC1			1	0	0	
028ECA	load_monster_graphics	code				load monster graphics
029058			1	0	0	
029063	load_misc_sprite_graphics	code				load misc. sprite graphics
029073	load_menu_graphics_bg2	code				load menu graphics (bg2)
0290A0	transfer_bg2_menu_tile_to_vram	code				transfer bg2 menu tile to vram
0290C2			1	0	0	
029132			1	0	0	
029137	load_menu_graphics_bg3	code				load menu graphics (bg3)
029150			1	0	0	
029179			1	0	0	
0291A9			1	0	0	
0291D2	load_battle_bg_graphics	code				load battle bg graphics
029286			1	0	0	
0292CA	clear_message_window_tilemap	code				clear message window tilemap
0292D6	draw_message_window_full	code				draw message window (full)
029304	draw_message_window_left	code				draw message window (left)
029332	draw_message_window_center	code				draw message window (center)
029360	draw_message_window_right	code				draw message window (right)
02938E	open_message_window	code				open message window
0293A8	close_message_window	code				close message window
0293C5	transfer_message_window_tilemap_to_vram	code				transfer message window tilemap to vram
02941A	transfer_mp_cost_tilemap_to_vram	code				transfer mp cost tilemap to vram
029433	transfer_menu_tilemap_to_vram_update	code				transfer menu tilemap to vram (update)
02946B	do_menu_text_update	code				do menu text update
029472	do_menu_text_update_029472	code				do menu text update
0294B4	copy_equipped_items_to_character_properties	code				copy equipped items to character properties
029631	swap_inventory_slots	code				swap inventory slots
02966D	do_forced_menu_vram_update	code				do forced menu vram update
029682	transfer_menu_tilemap_to_vram	code				transfer menu tilemap to vram
0296C8			1	0	0	
0296D4	transfer_inventory_spell_list_tilemap_to_vram	code				transfer inventory/spell list tilemap to vram
0296FA	do_periodic_menu_vram_update	code				do periodic menu vram update
029719	do_periodic_menu_text_update	code				do periodic menu text update
029738	load_menu_tilemap_vram_transfer_data	code				load menu tilemap vram transfer data
029764	transfer_mp_cost_tilemap_to_vram_029764	code				transfer mp cost tilemap to vram
029989			1	0	0	
0299A5	transfer_battle_command_window_tilemap_to_vram	code				transfer battle command window tilemap to vram
0299B6	transfer_status_tilemap_to_vram	code				transfer status tilemap to vram
0299CA	draw_main_menu_0299ca	code				draw main menu
0299D3	draw_monster_and_character_names	code				draw monster and character names
0299DC	draw_character_hp	code				draw character hp
0299E1	transfer_main_menu_tilemap_to_vram	code				transfer main menu tilemap to vram
029A05			1	0	0	
029A63	init_menu_text_and_tilemaps	code				init menu text and tilemaps
029A8B			1	0	0	
029AC7	transfer_menu_tilemap_to_vram_init	code				transfer menu tilemap to vram (init)
029AF4	draw_menu_windows	code				draw menu windows
029B59	load_menu_window_data	code				load menu window data
029B77	get_window_border_tiles	code				get window border tiles
029BAC	draw_window_029bac	code				draw window
029BB5			1	0	0	
029BBE			1	0	0	
029BC7			1	0	0	
029CA1			1	0	0	
029CBF	draw_battle_command_list	code				draw battle command list
029CD0	draw_battle_command_name	code				draw battle command name
029D69	init_equipped_item_text_buffer	code				init equipped item text buffer
029D8A	draw_right_left_hand_text	code				draw right/left hand text
029DCD	draw_equipped_item_text	code				draw equipped item text
029E9C			1	0	0	
029FA4	draw_inventory_item_text	code				draw inventory item text
02A070	init_spell_list_text_buffer	code				init spell list text buffer
02A08E	draw_spell_name_spell_list	code				draw spell name (spell list)
02A12C	battle_graphics_0c_draw_hp_text	code				battle graphics $0C: draw hp text
02A1D7	battle_graphics_0d_draw_current_max_mp	code				battle graphics $0D: draw current/max mp
02A1F8	check_if_character_name_hp_hidden	code				check if character name/hp hidden
02A20C	battle_graphics_0a_draw_character_names	code				battle graphics $0A: draw character names
02A2A1	draw_status_text	code				draw status text
02A39E	battle_graphics_0b_draw_monster_names	code				battle graphics $0B: draw monster names
02A411	get_battle_menu_text_buffer_data	code				get battle menu text buffer data
02A42F	draw_battle_menu_text	code				draw battle menu text
02A455	draw_text_02a455	code				draw text
02A491	increment_text_pointer	code				increment text pointer
02A497			1	0	0	
02A49B			1	0	0	
02A626	text_escape_code	code				text escape code
02A765			1	0	0	
02A811	update_hdma_data_for_menu	code				update hdma data for menu ???
02A96B	open_close_menu	code				open/close menu
02AA63			1	0	0	
02AB05	pause_battle_delay_mode	code				pause battle (delay mode)
02AB12	unpause_battle_delay_mode	code				unpause battle (delay mode)
02AB20	pause_battle_wait_mode	code				pause battle (wait mode)
02AB29	unpause_battle_wait_mode	code				unpause battle (wait mode)
02ABD2	battle_graphics_01_close_menu	code				battle graphics $01: close menu
02ABDD	battle_graphics_00_open_menu	code				battle graphics $00: open menu
02ABF4			1	0	0	
02AC23	update_cursor	code				update cursor
02ACAF			1	0	0	
02AD8B	select_default_target	code				select default target
02AE29	update_target_cursor	code				update target cursor
02B868	update_mp_cost_in_menu	code				update mp cost in menu
02B919	play_error_sound_effect	code				play error sound effect
02BAD2			1	0	0	
02BB0B			1	0	0	
02BB1A			1	0	0	
02BB29	draw_target_cursor_sprites	code				draw target cursor sprites
02BBE3	draw_menu_cursor_sprite	code				draw menu cursor sprite
02BC4E			1	0	0	
02BC82			1	0	0	
02BC8E			1	0	0	
02BC9D	do_special_animation_02bc9d	code				do special animation
02BCA2	draw_attack_name_window	code				draw attack name window
02BCAD			1	0	0	
02BCB2			1	0	0	
02BCC2	clear_bg1_h_scroll_hdma_data	code				clear bg1 h-scroll hdma data
02BCD2	set_palette_to_black_and_white	code				set ??? palette to black and white
02BD43			1	0	0	
02BDAE			1	0	0	
02BDD3			1	0	0	
02BEAB	execute_graphics_script_far	code				execute graphics script (far)
02BEAF	battle_graphics_05_graphics_script	code				battle graphics $05: graphics script
02BEC2	init_buffer_pointers	code				init buffer pointers
02BED7	battle_graphics_11_display_damage_numerals	code				battle graphics $11: display damage numerals
02BEDD			1	0	0	
02BEF0	execute_graphics_script	code				execute graphics script
02C02B	get_next_graphics_script_byte	code				get next graphics script byte
02C033	do_command_animation	code				do command animation
02C09D	command_animation_10_twin_1	code				command animation $10: twin 1
02C0B4	unused_command_animation	code				unused command animation
02C0C1	command_animation_20_twin_2	code				command animation $20: twin 2
02C117	command_animation_16_throw	code				command animation $16: throw
02C280			1	0	0	
02C2A9	command_animation_1b_defend	code				command animation $1B: defend
02C2D9	command_animation_0e_kick	code				command animation $0E: kick
02C476	command_animation_1e_jump_2	code				command animation $1E: jump 2
02C555	command_animation_1c_appear_show	code				command animation $1C: appear (show)
02C5B8			1	0	0	
02C5C4	command_animation_09_hide_far	code				command animation $09: hide (far)
02C5C8	command_animation_1c_appear_far	code				command animation $1C: appear (far)
02C5CC	command_animation_09_hide	code				command animation $09: hide
02C619	command_animation_06_jump_1	code				command animation $06: jump 1
02C6B8	command_animation_1a_row_change	code				command animation $1A: row (change)
02C6BF	command_animation_00_1f_fight_focus_2	code				command animation $00/$1F: fight/focus 2
02C6C5	command_animation_08_0f_sing_brace	code				command animation $08/$0F: sing/brace
02C6D2	command_animation_02_white_magic	code				command animation $02: white magic
02C6DF	command_animation_03_black_magic	code				command animation $03: black magic
02C718	command_animation_04_summon	code				command animation $04: summon
02C72A	command_animation_25	code				command animation $25:
02C793	command_animation_12_cry	code				command animation $12: cry
02C79A	command_animation_11_bluff	code				command animation $11: bluff
02C7A1	command_animation_19_regen	code				command animation $19: regen
02C7A9	command_animation_07_14_recall_search	code				command animation $07/$14: recall/search
02C7B1	command_animation_01_item	code				command animation $01: item
02C7F1	command_animation_medicine_prayer_protect_steal_ninjutsu	code				command animation: medicine, prayer, protect, steal, ninjutsu
02C7F9			1	0	0	
02C81D	command_animation_05_dark_wave	code				command animation $05: dark wave
02C88B	command_animation_0c_aim	code				command animation $0C: aim
02C8A0	wait_02c8a0	code				wait
02C8A7	do_graphics_script_command_f0_fe	code				do graphics script command $F0-$FE
02C93B	wait_for_battle_message	code				wait for battle message
02C974	wait_for_message_window	code				wait for message window
02C97F	graphics_script_command_f8_display_text	code				graphics script command $F8: display text
02CC32	graphics_script_command_f3	code				graphics script command $F3:
02CCA2	graphics_script_command_f0_change_boss_frame	code				graphics script command $F0: change boss frame
02CD42	weapon_animation_0a_whip	code				weapon animation $0A: whip
02CD49	weapon_animation_01_sword	code				weapon animation $01: sword
02CD56	weapon_animation_0b_hammer	code				weapon animation $0B: hammer
02CD5A	weapon_animation_02_rod	code				weapon animation $02: rod
02D069			1	0	0	
02D13F	do_weapon_animation	code				do weapon animation
02D1A2	weapon_animation_06_shuriken	code				weapon animation $06: shuriken
02D248	weapon_animation_07	code				weapon animation $07:
02D370	weapon_animation_08_boomerang	code				weapon animation $08: boomerang
02D3F7	weapon_animation_09_harp	code				weapon animation $09: harp
02D52A	weapon_animation_04_bow	code				weapon animation $04: bow
02D55D	weapon_animation_05_unarmed	code				weapon animation $05: unarmed
02D7A8	weapon_animation_00	code				weapon animation $00:
02D7B4	weapon_animation_03_claw	code				weapon animation $03: claw
02D8A0	load_weapon_palette	code				load weapon palette
02D970	load_weapon_graphics	code				load weapon graphics
02DA3D	load_3bpp_graphics	code				load 3bpp graphics
02DA73			1	0	0	
02DAFE			1	0	0	
02DC52			1	0	0	
02DCED			1	0	0	
02DDA5			1	0	0	
02DDDC			1	0	0	
02E03A			1	0	0	
02E08A			1	0	0	
02E103	get_pointer_to_character_monster_properties_far	code				get pointer to character/monster properties (far)
02E107	get_pointer_to_character_monster_properties	code				get pointer to character/monster properties
02E116			1	0	0	
02E1ED			1	0	0	
02E24C	draw_character_sprites	code				draw character sprites
02E41C	draw_character_sprite	code				draw character sprite
02E505	draw_damage_numeral_sprites	code				draw damage numeral sprites
02E5D9			1	0	0	
02E63D			1	0	0	
02E6ED			1	0	0	
02E707			1	0	0	
02E71E			1	0	0	
02E8D8			1	0	0	
02E8DD			1	0	0	
02E8E2			1	0	0	
02E8F9	battle_graphics_10	code				battle graphics $10:
02E9A9			1	0	0	
02EA82	load_summon_graphics	code				load summon graphics
02EAC1	do_magic_animation	code				do magic animation
02EAC9			1	0	0	
02EB57			1	0	0	
02EB5D	do_magic_animation_far	code				do magic animation (far)
02F316			1	0	0	
02F35F			1	0	0	
02F497			1	0	0	
02F4D6			1	0	0	
02F4F8			1	0	0	
02F524			1	0	0	
02F57E			1	0	0	
02F596			1	0	0	
02F5DF			1	0	0	
02F5E7			1	0	0	
02F63B			1	0	0	
02F699			1	0	0	
02F6BC	execute_animation_script	code				execute animation script
02F8F3			1	0	0	
02FAF7			1	0	0	
02FB6B			1	0	0	
02FBE4			1	0	0	
02FD2B			1	0	0	
02FE14			1	0	0	
02FF09			0	0	0	
02FF20			1	0	0	
02FF35			1	0	0	
02FF42			1	0	0	
038000			1	0	0	
038006			1	0	0	
038009	battle_038009	code				battle
038036	update_character_equipment	code				update character equipment
03805F	draw_current_max_mp	code				draw current/max mp
038085	execute_battle_graphics_038085	code				execute battle graphics
03808A	init_battle	code				init battle
038235	init_ram	code				init ram
0382CB	init_hardware_registers_0382cb	code				init hardware registers
038379	random_x_a	code				random (X..A)
0383B9	multiply_16_bit_0383b9	code				multiply (16-bit)
0383E0	multiply_8_bit_0383e0	code				multiply (8-bit)
038407	divide_038407	code				divide
038443	get_script_length	code				get script length
03845E	load_array_item	code				load array item
03847B	asl_03847b	code				asl
03847C			1	0	0	
03847D			0	0	0	
03847E			1	0	0	
03847F			1	0	0	
038482	lsr	code				lsr
038483			1	0	0	
038484			1	0	0	
038485			1	0	0	
038486			0	0	0	
038489	set_current_character_monster	code				set current character/monster
0384E3	add_16_bit	code				add (16-bit)
0384FC	subtract_16_bit	code				subtract (16-bit)
03850C	count_bits	code				count bits
03851A	copy_attacker_target_properties_from_buffer	code				copy attacker/target properties from buffer
03855A	clear_bit	code				clear bit
03855F	set_bit	code				set bit
038564	test_bit	code				test bit
038569	get_pointer_to_timer	code				get pointer to timer
038579	choose_a_random_monster	code				choose a random monster
038582	choose_a_random_character	code				choose a random character
03858B	random_0_98	code				random (0..98)
038593	random_0_255_038593	code				random (0..255)
03859B	add_message_to_graphics_script_33c2	code				add message to graphics script ($33C2)
0385A6	add_message_to_graphics_script_33c6	code				add message to graphics script ($33C6)
0385B1	add_message_to_graphics_script_33c8	code				add message to graphics script ($33C8)
0385BC	increment_character_monster_pointer	code				increment character/monster pointer
0385C8	set_timer	code				set timer
0385D9	battle_main	code				battle main
038687	do_action	code				do action
03869F	end_battle	code				end battle
0387D8	check_if_victory_fanfare_is_disabled	code				check if victory fanfare is disabled
0387E4	find_battle_id_in_list	code				find battle id in list
038803	check_if_victory_animation_is_disabled	code				check if victory animation is disabled
03880F	clear_status_for_victory_animation	code				clear status for victory animation
038840	drop_gp_from_running_away	code				drop gp from running away
038929	init_characters_and_monsters	code				init characters and monsters
038E99	hide_monster	code				hide monster
038ECC	load_equipment_properties	code				load equipment properties
038FCA	init_monster_properties	code				init monster properties
039489	load_monster_attack_defense_values	code				load monster attack/defense values
0394A8	load_character_properties_0394a8	code				load character properties
0395CE	init_character_rows	code				init character rows
039625	init_poison_timers	code				init poison timers
039677	decrement_timers	code				decrement timers
039741	check_for_pending_action	code				check for pending action
039788	check_if_timer_expired	code				check if timer expired
0397B3	init_action	code				init action
0397FD	update_character_equipment_external	code				update character equipment (external)
039837	update_character_stats	code				update character stats
039D9E	get_opposing_elements	code				get opposing elements
039DAB	get_shield_properties	code				get shield properties
039DFE	copy_equipped_item_data_to_character_properties	code				copy equipped item data to character properties
039E20	max_99	code				max 99
039E27	max_255	code				max 255
039E2C	calculate_timer_duration	code				calculate timer duration
039FD8	apply_speed_multiplier	code				apply speed multiplier
03A015	check_if_battle_is_over	code				check if battle is over
03A0F7	update_enabled_inventory_items	code				update enabled inventory items
03A158	check_if_character_can_use_item	code				check if character can use item
03A1A0	update_enabled_commands_and_spells	code				update enabled commands and spells
03A27E	check_if_battle_command_is_enabled	code				check if battle command is enabled
03A2D9	check_command_requirements	code				check command requirements
03A371	action_type_0_choose_character_action	code				action type 0: choose character action
03A3E3	open_close_menu_03a3e3	code				open/close menu
03A4C8	set_berserk_status_avenger_sword	code				set berserk status (avenger sword)
03A4D9	get_auto_battle_command	code				get auto-battle command
03A58D	validate_selected_character	code				validate selected character
03A5B2	validate_selected_command	code				validate selected command
03A714	validate_selected_targets	code				validate selected targets
03A74D	clear_invalid_targets	code				clear invalid targets
03A778	get_pointer_to_selected_command_magic_item_data	code				get pointer to selected command/magic/item data
03A7C1	redraw_inventory_item_text	code				redraw inventory item text
03A7D6	use_potion_salve	code				use potion (salve)
03A81B	validate_equipped_arrows	code				validate equipped arrows
03A856	action_type_3_do_timer_effect	code				action type 3: do timer effect
03A9FF	do_sap_and_regen	code				do sap and regen
03AAE2	do_forced_character_actions	code				do forced character actions
03AB9D	choose_charmed_attack	code				choose charmed attack
03ABED	choose_charmed_spell	code				choose charmed spell
03AC8C	choose_berserk_attack	code				choose berserk attack
03ACF9	force_edward_to_hide_appear	code				force edward to hide/appear
03AD23	count_character_targets	code				count character targets
03AD57	action_type_2_do_attack	code				action type 2: do attack
03B09E	retarget	code				retarget
03B0FF	execute_battle_command	code				execute battle command
03B163	get_pointer_to_character_monster_properties_03b163	code				get pointer to character/monster properties
03B18E	set_targets	code				set targets
03B1A0			1	0	0	
03B288	add_attack_to_retaliation_stack	code				add attack to retaliation stack
03B2D7	shift_retaliation_stack	code				shift retaliation stack
03B2FD	init_graphics_script	code				init graphics script
03B33F	battle_command_21_do_nothing	code				battle command $21: do nothing
03B3B6	action_type_1_choose_monster_action	code				action type 1: choose monster action
03B68F	set_monster_pending_action	code				set monster pending action
03B74C	get_pointer_to_monster_script	code				get pointer to monster script
03B76F	change_monster_stat	code				change monster stat
03B7FF	apply_speed_modifier	code				apply speed modifier
03B877	change_battle_variable	code				change battle variable
03B8A1	choose_monster_target	code				choose monster target
03B97E	get_front_row_characters	code				get front row characters
03B9C9	get_back_row_characters	code				get back row characters
03BA11	get_monster_with_status	code				get monster with status
03BBDE	init_monster_action_delay	code				init monster action delay
03BBF2	init_monster_graphics_script	code				init monster graphics script
03BC12	clear_graphics_script_buffer	code				clear graphics script buffer
03BC1E	copy_monster_graphic_script_from_buffer	code				copy monster graphic script from buffer
03BC31			1	0	0	
03BCCE	check_monster_condition	code				check monster condition
03BF0F	get_monster_condition_target	code				get monster condition target
03C16C	do_retaliation	code				do retaliation
03C408	find_valid_character_target	code				find valid character target
03C489	battle_command_00_fight	code				battle command $00: fight
03C914	decrement_arrow_quantity	code				decrement arrow quantity
03C987	get_number_of_hits	code				get number of hits
03C99F	calculate_damage	code				calculate damage
03CA41	apply_damage_multiplier	code				apply damage multiplier
03CA62	get_pointer_to_damage_buffer	code				get pointer to damage buffer
03CA6E	update_hp_after_damage	code				update hp after damage
03CB3A	apply_attack_status	code				apply attack status
03CC36	battle_command_02_magic	code				battle command $02: magic
03CD2E	do_magic_attack	code				do magic attack
03D297	do_magic_effect	code				do magic effect
03D2AC	validate_magic_targets	code				validate magic targets
03D32E	check_if_attack_name_is_shown	code				check if attack name is shown
03D354	check_if_monster_flash_is_disabled	code				check if monster flash is disabled
03E030	remove_target	code				remove target
03E053	get_summon_attack_id	code				get summon attack id
03E07E	subtract_mp_if_summon_failed	code				subtract mp if summon failed
03E100	check_elemental_resistance	code				check elemental resistance
03E133	check_elemental_weakness	code				check elemental weakness
03E156	battle_command_14_search_peep	code				battle command $14: search (peep)
03E1B5	battle_command_24_run_away	code				battle command $24: run away
03E1CF	battle_command_17_steal_sneak	code				battle command $17: steal (sneak)
03E2D2	draw_stolen_item_text_in_inventory	code				draw stolen item text in inventory
03E2DF	battle_command_0a_salve	code				battle command $0A: salve
03E34F	battle_command_16_throw_dart	code				battle command $16: throw (dart)
03E3D4	battle_command_1a_change_row	code				battle command $1A: change row
03E3FD	battle_command_19_regen	code				battle command $19: regen
03E43B	battle_command_22_end_regen	code				battle command $22: end regen
03E441	battle_command_10_twin_1	code				battle command $10: twin 1
03E4E6	battle_command_20_twin_2	code				battle command $20: twin 2
03E612	battle_command_13_cover	code				battle command $13: cover
03E656	battle_command_1d_don_t_cover_off	code				battle command $1D: don't cover (off)
03E699	battle_command_0f_brace	code				battle command $0F: brace
03E6B7	battle_command_0e_kick	code				battle command $0E: kick
03E7F3	battle_command_0d_focus_1	code				battle command $0D: focus 1
03E826	battle_command_1f_focus_2	code				battle command $1F: focus 2
03E839	battle_command_0c_aim	code				battle command $0C: aim
03E855	battle_command_0b_pray	code				battle command $0B: pray
03E879	battle_command_09_hide	code				battle command $09: hide
03E8BE	battle_command_1c_appear_show	code				battle command $1C: appear (show)
03E903	battle_command_08_sing	code				battle command $08: sing
03E957	battle_command_06_jump_1	code				battle command $06: jump 1
03E9A5	battle_command_1e_jump_2	code				battle command $1E: jump 2
03E9E1	battle_command_1b_defend	code				battle command $1B: defend
03E9EC	battle_command_05_dark_wave	code				battle command $05: dark wave
03EA1D	battle_command_07_recall	code				battle command $07: recall
03EAC6	battle_command_11_bluff	code				battle command $11: bluff
03EAE9	battle_command_12_cry	code				battle command $12: cry
03EB2C	load_stolen_item_properties	code				load stolen item properties
03EBA2	battle_command_01_item	code				battle command $01: item
03EC12	choose_a_random_summon	code				choose a random summon
03EC72	update_party_after_victory	code				update party after victory
03F02E	update_character_at_level_up	code				update character at level up
03F0CD	increase_hp_mp_at_level_up	code				increase hp/mp at level up
03F108	update_spell_list_at_level_up	code				update spell list at level up
03F18B	restore_character_properties_after_battle	code				restore character properties after battle
03F4D8			1	0	0	
03F541			1	0	0	
03F555			1	0	0	
03F56A			1	0	0	
03F680			1	0	0	
03F6F5			1	0	0	
03F719			1	0	0	
03F741			1	0	0	
03F76E	load_battle_bg_palette	code				load battle bg palette
03F7CD	increment_game_time	code				increment game time
03F864	wait_8_frames	code				wait 8 frames
03F86F	big_bang	code				big bang
03F8BE	make_final_battle_bg_scroll_backward	code				make final battle bg scroll backward
03F8E0	make_final_battle_bg_scroll_forward	code				make final battle bg scroll forward
03F902	update_final_battle_bg_hdma_data	code				update final battle bg hdma data
03FAC8			1	0	0	
03FAE5			1	0	0	
03FB74	update_sound_for_pause_unpause	code				update sound for pause/unpause
03FB9C			1	0	0	
03FC3E			1	0	0	
03FD48			1	0	0	
03FDD0	update_controller_03fdd0	code				update controller
03FE03	transfer_sprite_data_to_ppu_03fe03	code				transfer sprite data to ppu
03FE46	init_hdma_tables	code				init hdma tables
03FEBE	transfer_color_palettes_to_ppu	code				transfer color palettes to ppu
048000			1	0	0	
048004			1	0	0	
048008	init_sound_music	code				init sound/music
048107	execute_sound_command	code				execute sound command
04816F	play_song_04816f	code				play song
0485E1	play_game_sound_effect	code				play game sound effect
048608	play_system_sound_effect	code				play system sound effect
04861E	sound_interrupt	code				sound interrupt
04864E	add_pointer_offset	code				add pointer offset
0FC600	play_fanfare	code				play fanfare
0FC618	play_song_0fc618	code				play song
13D610	end_credits	code				end credits
13D62B	solar_system_moon_departs	code				solar system (moon departs)
13D652	solar_system_prophecy	code				solar system (prophecy)
13DDFB	clear_sprite_data_13ddfb	code				clear sprite data
13DE14	init_hardware_registers_13de14	code				init hardware registers
13E057	cinematic_irq	code				cinematic irq
13E0CB	transfer_sprite_data_to_ppu_13e0cb	code				transfer sprite data to ppu
13E0F3	multiply_8_bit_13e0f3	code				multiply (8-bit)
13E3B3	cinematic_nmi	code				cinematic nmi
13FF12	play_battle_song	code				play battle song
13FF3A	validate_dead_character_hp	code				validate dead character hp
13FF5F	divide_16_bit	code				divide (16-bit)
13FFB4	disable_regen_based_on_fusoya_s_status	code				disable regen based on fusoya's status
14FD00			1	0	0	
14FD03	UpdateCtrl_ext	code				jmp UpdateCtrl.
14FD09			1	0	0	
14FD0F			1	0	0	
14FD12	UpdateCtrl	code				menu/system.asm. Waits on HVBJOY bit 0 (auto-joypad busy), not vblank.
14FD90	read_controller_register	code				read controller register
14FDD9	init_controller_14fdd9	code				init controller
14FE63	set_button_mapping	code				set button mapping
14FE9E	clear_text_14fe9e	code				clear text
14FED6	update_window_color_14fed6	code				update window color
14FFD6			1	0	0	
15B000	transfer_3bpp_graphics_to_vram_15b000	code				transfer 3bpp graphics to vram
15B088	load_map_bg_graphics	code				load map bg graphics
15B114	clear_bg1_bg2_graphics_in_vram	code				clear bg1/bg2 graphics in vram
15B143	transfer_bg1_bg2_graphics_to_vram_3bpp	code				transfer bg1/bg2 graphics to vram (3bpp)
15B181	transfer_world_map_graphics_to_vram	code				transfer world map graphics to vram
15B1E0	draw_player_sprite_sub_map	code				draw player sprite (sub-map)
15B30C	draw_player_sprite_world_map	code				draw player sprite (world map)
15B3AF	set_sprite_x_position_msb	code				set sprite x position msb
15B3DC	draw_chocobo_sprite	code				draw chocobo sprite
15B4F9	draw_black_chocobo_sprite	code				draw black chocobo sprite
15B5EF	draw_dwarf_tank_sprites	code				draw dwarf tank sprites
15B66F	draw_ship_sprite	code				draw ship sprite
15B70F	draw_hovercraft_sprite	code				draw hovercraft sprite
15B8DD	draw_enterprise_sprite	code				draw enterprise sprite
15B9CC	draw_falcon_sprite	code				draw falcon sprite
15BC2F	draw_big_whale_sprite	code				draw big whale sprite
15C144			1	0	0	
15C163	update_mode_7_zoom_hdma_table	code				update mode 7 zoom hdma table
15C1F9	load_map_palette	code				load map palette
15C226	load_text_window_palette	code				load text window palette
15C23D	no_effect	code				no effect
15C23E	load_initial_spell_lists	code				load initial spell lists
15C324	convert_hex_to_decimal_15c324	code				convert hex to decimal
15C38F			1	0	0	
15C3BD	update_big_whale_palette_animation	code				update big whale palette animation
15C3EA	update_tower_of_bab_il_palette_animation	code				update tower of bab-il palette animation
15C41A			1	0	0	
15C4CD			1	0	0	
15C505	update_world_map_zoomed_bg_palettes	code				update world map zoomed bg palettes
15C6D5	invert_map_palette	code				invert map palette
15C6F4	modify_overworld_tilemap	code				modify overworld tilemap
15C7E5	transfer_chest_door_tilemap_to_vram	code				transfer chest/door tilemap to vram
15C827	load_player_sprite_palettes	code				load player sprite palettes
15C84C	update_showing_character	code				update showing character
15C85E	validate_showing_character	code				validate showing character
15C87B	get_showing_character_properties_pointer	code				get showing character properties pointer
15C88B	load_player_sprite_graphics	code				load player sprite graphics
15C8DF	init_hardware_registers_15c8df	code				init hardware registers
15C9AA	clear_ram	code				clear ram
15CA1D	reset_controller_inputs	code				reset controller inputs
15CA5E	transfer_palettes_to_ppu_15ca5e	code				transfer palettes to ppu
15CA85	transfer_data_to_vram_15ca85	code				transfer data to vram
15CAB1	clear_vram_15cab1	code				clear vram
15CADC	transfer_sprite_data_to_ppu_15cadc	code				transfer sprite data to ppu
15CB01	load_bg_animation_graphics	code				load bg animation graphics
15CB5F	transfer_bg_animation_graphics_to_vram	code				transfer bg animation graphics to vram
1EFCCD	init_hardware_registers_1efccd	code				init hardware registers
1EFD91	get_pointer_to_magic_menu_cursor_positions	code				get pointer to magic menu cursor positions
1EFD9C	load_magic_menu_cursor_positions	code				load magic menu cursor positions
1EFDB6	save_magic_menu_cursor_positions	code				save magic menu cursor positions
1EFE84	tax_1efe84	code				tax
7E1B1A	field_scroll_pos	data				Vanilla field-menu item scroll position.
7E1BB3	drops_cursor_row	data				Vanilla drops cursor row, clamped to visible rows.
7E1BB7	treasure_scroll_pos	data				Vanilla treasure inventory scroll position.
7E1BC6	in_treasure_menu	data				Non-zero while the treasure popup owns the screen.
7EC600	bg4_staging	data				BG4 tilemap staging (drops list + its window).
7ED600	bg3_staging	data				BG3 tilemap staging (treasure inventory + its window).
